Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    Egz    
Aidas               Urbonas             6      2      2      3      6      9      1      
Skalmantas          Kateiva             2      8      6      1      7      8      1      
Skirgaila           Kateiva             2      3      5      10     8      10     9      
Damijonas           Urbonas             9      2      7      8      3      1      2      
Juljanas            Jankauskas          4      2      2      10     1      10     7      
Zygfridas           Urbonas             10     9      5      6      1      3      2      
Aistis              Vasiliauskas        4      4      2      9      9      3      8      
Sebastijonas        Pocius              2      2      9      3      3      6      10     
Georgijus           Kateiva             4      3      5      2      6      5      10     
Bronislovas         Baranauskas         7      4      3      1      9      5      1      
