Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz    
Naglis              Vasiliauskas        3      6      3      3      5      4      9      8      5      3      6      
Vainoras            Petrauskas          2      3      7      8      9      2      6      5      7      10     4      
Jegoras             Sakalauskas         10     2      10     5      4      6      1      10     9      5      9      
Napolis             Pocius              8      7      9      4      4      7      9      6      3      8      4      
Leonas              Vasiliauskas        2      5      10     8      5      3      7      2      8      5      10     
Mantas              Kateiva             10     6      9      8      4      4      5      6      2      8      5      
Dominykas           Petrauskas          4      10     1      9      7      10     9      4      5      2      8      
Almis               Urbonas             1      4      6      3      4      2      6      1      4      5      2      
Pilenas             Kateiva             6      2      4      2      3      6      9      7      5      10     7      
Aurelijus           zukauskas           2      4      8      9      3      10     8      2      8      9      9      
Gailimantas         Jankauskas          3      2      6      8      7      7      10     9      5      2      8      
Henris              Urbonas             10     6      3      7      5      2      3      4      9      9      9      
Vingaudas           Kateiva             3      3      10     3      8      2      9      4      5      5      1      
Anzelmas            Paulauskas          5      4      1      4      4      9      6      10     4      7      3      
Valius              Paulauskas          10     8      6      8      7      7      5      8      4      3      2      
Vaigaudas           Pocius              9      5      5      6      5      1      10     10     10     10     3      
Dovilis             Stankevicius        6      7      3      2      4      6      3      7      2      10     1      
Zakarijus           Sakalauskas         2      9      5      6      9      6      6      1      2      4      6      
Egidijus            Petrauskas          8      9      7      1      6      4      10     2      8      3      8      
Martinas            Sakalauskas         6      6      10     3      5      5      4      9      1      10     6      
Laimis              Kateiva             7      6      6      2      4      10     5      10     6      9      9      
svitrigaila         Kavaliauskas        9      10     7      1      3      3      6      9      1      7      2      
Klevas              Paulauskas          8      8      4      10     6      2      7      10     1      4      4      
Kristijonas         Stankevicius        7      8      1      10     6      5      3      6      9      9      1      
Telesforas          Kateiva             8      9      7      1      3      4      8      3      9      3      10     
Genrichas           Sakalauskas         6      9      3      9      7      7      9      1      4      4      7      
Julijus             Kateiva             8      2      4      6      9      10     3      7      9      1      1      
Aloyzas             Jankauskas          2      1      2      8      4      9      8      7      4      7      10     
Remigijus           zukauskas           9      9      8      4      3      8      8      6      5      8      4      
Lauris              Stankevicius        6      3      5      8      5      2      3      2      8      10     3      
Pilypas             Paulauskas          9      10     3      10     10     9      2      3      8      3      10     
Vaidevutis          Vasiliauskas        10     1      9      7      7      2      2      8      9      10     6      
Mindaugas           Baranauskas         3      8      7      3      2      1      4      3      5      5      4      
Libertas            zukauskas           1      7      3      3      2      4      5      4      9      10     8      
Sviatoslavas        Kazlaukas           4      2      10     6      7      6      6      7      9      10     1      
Robinas             Petrauskas          2      1      4      6      1      2      3      4      9      8      4      
Otonas              Vasiliauskas        4      7      5      8      7      4      7      3      5      6      2      
Stefanas            Petrauskas          6      2      1      6      10     4      9      2      1      8      9      
Normanas            Jankauskas          9      4      8      6      7      3      7      10     3      1      9      
Zigfridas           Kateiva             1      4      10     7      6      1      9      5      2      1      7      
Polis               Butkus              5      3      9      1      4      1      6      4      5      2      4      
Vingaudas           Pocius              7      2      7      5      9      9      4      8      2      2      9      
Jegoras             Kateiva             9      8      10     8      9      1      6      6      8      3      10     
Kestautas           Kateiva             7      10     10     2      7      1      7      5      3      2      6      
Mecys               Kazlaukas           6      9      10     9      8      6      6      8      7      7      6      
Tonis               zukauskas           9      10     4      7      8      6      8      9      1      9      10     
Adalbertas          Kavaliauskas        1      6      2      3      6      2      7      10     2      5      4      
Dovis               Stankevicius        5      3      3      9      3      9      5      4      4      3      1      
Medardas            Stankevicius        4      7      4      1      5      8      9      10     6      2      8      
Aleksandras         Paulauskas          2      3      6      7      10     6      9      4      4      1      7      
Robinas             Kateiva             10     8      3      1      5      1      7      4      10     2      5      
Augis               Petrauskas          8      3      8      9      7      3      5      9      4      10     9      
Remigijus           Urbonas             6      10     2      6      9      8      4      8      8      5      1      
Artas               Vasiliauskas        5      4      3      9      4      9      3      8      4      1      7      
Klimas              Stankevicius        9      2      4      7      1      10     6      8      8      4      3      
Fredas              Butkus              10     1      7      2      3      2      1      7      6      7      4      
Arnas               Jankauskas          1      10     6      2      3      4      1      7      6      5      6      
Vincas              Urbonas             8      9      10     7      2      9      8      9      3      9      6      
Rutenis             Jankauskas          9      8      1      4      6      1      9      7      7      5      7      
