Vardas              Pavarde             Vid.                Med.                
Achilas             Kateiva             7.8                 3.5                 
Adamas              Vasiliauskas        6.96                5.5                 
Adamas              Sakalauskas         5.48                4.5                 
Adamas              Kateiva             6.64                3.5                 
Adas                Sakalauskas         6.96                3                   
Adolfas             Pocius              7.08                4.5                 
Adolfas             Baranauskas         6.64                7                   
Adolfas             Butkus              7.48                5                   
Adolis              Kavaliauskas        5.84                8                   
Aidas               zukauskas           7.16                5                   
Aidas               Kazlaukas           6.88                5.5                 
Ainius              Vasiliauskas        6.28                5.5                 
Aistis              Urbonas             8.6                 7.5                 
Akvilinas           Butkus              7.6                 3.5                 
Akvilinas           Pocius              5.72                7.5                 
Akvilinas           Urbonas             6.6                 6                   
Albertas            Kavaliauskas        6.28                6                   
Albertas            Kateiva             8.32                6.5                 
Albertas            Petrauskas          7.52                6                   
Albinas             Urbonas             7.72                6                   
Aleksandras         Paulauskas          6.28                5                   
Alfonsas            Urbonas             6.44                6.5                 
Alfredas            Sakalauskas         6.64                7                   
Alfredas            Kateiva             5.68                7.5                 
Algirdas            Butkus              7.92                5                   
Alius               zukauskas           8.12                4.5                 
Alius               Butkus              6.08                6.5                 
Alius               Vasiliauskas        6.32                8                   
Almantas            Kazlaukas           5.76                5.5                 
Almantas            Stankevicius        5.44                4                   
Aloyzas             Jankauskas          8.08                5.5                 
Alvidas             Kateiva             5.2                 8                   
Ambraziejus         Kavaliauskas        7.88                5.5                 
Andrius             zukauskas           7.52                6                   
Anisimas            Paulauskas          6.88                5                   
Antonas             Sakalauskas         7.6                 5                   
Anzelmas            Paulauskas          7.04                6.5                 
Aristidas           Stankevicius        7.44                7.5                 
Aristidas           Vasiliauskas        6.4                 6                   
Aristidas           Baranauskas         7.28                6.5                 
Arkadijus           Kazlaukas           6.08                8.5                 
Arkadijus           Butkus              6.56                5.5                 
Arminas             Baranauskas         6.64                6                   
Arnas               Jankauskas          5.4                 4.5                 
Artas               Vasiliauskas        6.2                 4                   
Artas               Kavaliauskas        6.44                4                   
Artiomas            Urbonas             8                   5.5                 
Arvaidas            Kazlaukas           5.56                6.5                 
Astijus             Paulauskas          6.44                3.5                 
Astijus             Petrauskas          7.4                 5                   
Audrius             Sakalauskas         8.12                5                   
Audrius             Kateiva             5.48                4.5                 
Audronius           Baranauskas         8.04                7                   
Audronius           Petrauskas          7.84                6                   
Audronius           zukauskas           5.28                6                   
Augis               Petrauskas          8.04                7.5                 
Augustas            Sakalauskas         7.88                7                   
Augustas            Sakalauskas         7.32                4.5                 
Aurelijus           Jankauskas          7.04                4                   
Aurelijus           zukauskas           7.92                8                   
Ausrius             Kavaliauskas        7.44                6                   
Ausrys              Kateiva             5                   2.5                 
Ausrys              Pocius              7.6                 6                   
Baltazaras          Butkus              7.56                5                   
Baltramiejus        Butkus              5.92                3.5                 
Banguolis           Butkus              7.56                3.5                 
Bartas              Petrauskas          6.28                6                   
Bartvydas           Jankauskas          7.84                6                   
Bartvydas           Paulauskas          8.08                4.5                 
Bartvydas           Sakalauskas         7.8                 6                   
Benius              Baranauskas         7.76                6.5                 
Bernardas           Kavaliauskas        5.08                8.5                 
Berzas              Paulauskas          5.24                7                   
Berzas              Baranauskas         7.32                4.5                 
Boguslavas          Kazlaukas           6.92                6                   
Boleslavas          zukauskas           5.6                 7                   
Boleslovas          Sakalauskas         5.08                6                   
Borisas             Urbonas             8.16                5                   
Bronislovas         Pocius              6.72                7.5                 
Bronislovas         Kavaliauskas        8.6                 6.5                 
Bronius             Kateiva             5.24                8.5                 
Bronius             Paulauskas          7.64                6                   
Brunas              Kazlaukas           5.16                8                   
Ciprijonas          Stankevicius        7.84                5.5                 
Dainius             Paulauskas          8.32                6                   
Dalius              Urbonas             5.8                 5                   
Dalius              zukauskas           6.48                5.5                 
Damijonas           Petrauskas          5.76                6                   
Danas               Butkus              5.96                8.5                 
Dangerutis          Petrauskas          7.6                 5                   
Danielius           Kavaliauskas        6.12                4.5                 
Danius              Kateiva             6.56                9                   
Darius              Baranauskas         6                   6.5                 
Darius              Kavaliauskas        5.8                 6                   
Darius              Pocius              6.32                8                   
Daumantas           Jankauskas          6.36                8.5                 
Davidas             Sakalauskas         6.24                5                   
Davidas             Butkus              7.8                 3                   
Davidas             Urbonas             7.84                6.5                 
Deimantas           Pocius              7.68                5.5                 
Demetrijus          Stankevicius        8.04                4.5                 
Demjanas            Butkus              7.52                6.5                 
Denisas             Jankauskas          7.52                3.5                 
Denisas             Pocius              7.64                8                   
Denisas             Baranauskas         5.84                3                   
Denisas             Petrauskas          7.4                 7                   
Dimitrijus          Baranauskas         8.12                8                   
Diomidas            Vasiliauskas        7.88                6.5                 
Dionizas            Paulauskas          7.4                 5                   
Domantas            zukauskas           7.36                7.5                 
Domantas            zukauskas           6.44                5                   
Domas               Butkus              6.04                6.5                 
Dominykas           Petrauskas          7.24                6                   
Dominykas           Vasiliauskas        7.04                8                   
Donaldas            Kateiva             6.04                4                   
Donatas             Jankauskas          5.32                6.5                 
Dovis               Baranauskas         6.08                7.5                 
Dzeraldas           Baranauskas         7.44                4                   
Dziugas             Urbonas             5.56                4.5                 
Edgaras             Petrauskas          8.56                7                   
Edmundas            Vasiliauskas        7.08                6                   
Edvinas             Stankevicius        5.8                 4.5                 
Edvinas             Baranauskas         7.2                 7                   
Edvinas             Kazlaukas           5.36                6.5                 
Edvinas             Kazlaukas           6.08                4.5                 
Egidijus            Petrauskas          7.12                6.5                 
Eidvydas            Kazlaukas           5.56                5.5                 
Eidvydas            Jankauskas          6.64                6                   
Eidvydas            Petrauskas          5.2                 5.5                 
Eimantas            Kateiva             6.64                7                   
Eivydas             Kateiva             7.6                 8.5                 
Elijus              Sakalauskas         8.52                6                   
Elijus              Jankauskas          6.32                5                   
Elmantas            Baranauskas         5.48                6.5                 
Emilijus            Jankauskas          7.96                7                   
Erazmas             Kavaliauskas        5.44                6                   
Erichas             Sakalauskas         7.16                6.5                 
