Vardas              Pavarde             Vid.                Med.                
Achilas             Urbonas             4                   5.5                 
Adalbertas          Kavaliauskas        4.16                4                   
Adolis              Sakalauskas         4.48                6                   
Agatas              Jankauskas          3.76                5                   
Agnius              Kazlaukas           3.04                7                   
Agnius              Paulauskas          4.04                5                   
Ainius              Urbonas             2.4                 4.5                 
Akimas              Stankevicius        2.96                5                   
Aleksas             Kavaliauskas        3.32                5                   
Alenas              zukauskas           2.96                6.5                 
Alius               Petrauskas          2.2                 3.5                 
Almantas            Baranauskas         3.6                 4                   
Almantas            Stankevicius        2.48                5                   
Almantas            Butkus              2.96                6                   
Almis               Urbonas             2.64                4                   
Alpas               Sakalauskas         3.64                7.5                 
Alvidas             Kateiva             4.08                8                   
Alvydas             Pocius              3.6                 5                   
Ambraziejus         Petrauskas          4.28                6.5                 
Anatolis            Sakalauskas         3.48                8.5                 
Anatolis            Urbonas             3.68                5                   
Andreas             Baranauskas         2.96                3                   
Andriejus           Stankevicius        3.84                6                   
Andzejus            Paulauskas          2.84                4                   
Anisimas            Vasiliauskas        3.84                5.5                 
Anzelmas            Paulauskas          3.96                4.5                 
Anzelmas            Petrauskas          4.36                4                   
Apolinaras          Petrauskas          4.92                4                   
Arijus              Urbonas             4.84                6                   
Arimantas           Baranauskas         3.36                5                   
Aristarchas         Urbonas             3.68                6.5                 
Arminas             Petrauskas          4.4                 7                   
Arminas             Urbonas             4.28                7                   
Arturas             Paulauskas          4.8                 5                   
Arunas              Butkus              3.84                4.5                 
Astijus             Kazlaukas           2.44                4                   
Audronius           Sakalauskas         4.76                4                   
Audrys              Kateiva             2.44                5                   
Augis               Paulauskas          4.36                3                   
Augustas            Kazlaukas           3                   6                   
Aurelijus           Stankevicius        3.28                7.5                 
Baltramiejus        Jankauskas          3.44                5.5                 
Balys               Kateiva             4.44                5.5                 
Bartvydas           Baranauskas         3.12                4.5                 
Benas               Stankevicius        4.12                5                   
Benas               Stankevicius        3.56                6                   
Benas               Jankauskas          2.44                4                   
Berzas              Kateiva             3.64                4.5                 
Bonifacas           Vasiliauskas        3.6                 7                   
Bronislovas         Stankevicius        3.96                6.5                 
Bronislovas         Baranauskas         2.52                3                   
Brunas              Stankevicius        3.56                6                   
Brunas              Vasiliauskas        2.84                5.5                 
Chaimas             Sakalauskas         4.04                5.5                 
Dalius              Kazlaukas           2.76                5                   
Dalius              Vasiliauskas        3.68                5                   
Damijonas           Kavaliauskas        4.32                6.5                 
Danila              Butkus              2.96                6                   
Danius              Petrauskas          3.6                 6                   
Darijus             Paulauskas          3.04                6                   
Daumantas           Urbonas             1.76                2.5                 
Davidas             Jankauskas          4                   8.5                 
Deivis              Stankevicius        4.4                 5                   
Dimitrijus          Paulauskas          3.48                6                   
Diomidas            Jankauskas          3.76                7                   
Dmitrijus           Kavaliauskas        3.36                5                   
Dobilas             Butkus              2.72                5                   
Dominykas           Paulauskas          4.4                 4                   
Dominykas           Butkus              4.48                7.5                 
Donaldas            Sakalauskas         3.76                7                   
Dovilis             Stankevicius        2.6                 5                   
Dovilis             Baranauskas         2.72                6                   
Dovilis             Petrauskas          3                   2.5                 
Dovis               Petrauskas          2.32                4                   
Dovis               Stankevicius        2.52                4                   
Dovydas             Kateiva             4.72                5.5                 
Drasius             Kateiva             4.96                3                   
Drasius             Jankauskas          4.4                 5                   
Drasius             Paulauskas          3.64                6                   
Drasutis            Kateiva             3.04                4                   
Drasutis            Butkus              4.08                6.5                 
Dziugas             Kazlaukas           3.56                1.5                 
Edgaras             Baranauskas         3.4                 5.5                 
Eduardas            Urbonas             4.8                 6.5                 
Edvardas            Baranauskas         3.8                 4.5                 
Edvardas            Baranauskas         3.56                7                   
Edvinas             Kavaliauskas        4                   5                   
Egidijus            Kavaliauskas        4.64                5.5                 
Eivydas             Kateiva             3.56                4.5                 
Eldaras             Vasiliauskas        3.84                5                   
Eldaras             Vasiliauskas        3.24                3                   
Elijus              Baranauskas         3.32                5.5                 
Emanuelis           Vasiliauskas        2.96                7                   
Emilijus            Vasiliauskas        4.64                5.5                 
Erichas             Jankauskas          4.92                8                   
Erikas              Butkus              3.84                2                   
Ernestas            Pocius              4.6                 5                   
Ernestas            Kavaliauskas        4.48                5                   
Eugeniusas          Jankauskas          3.96                5.5                 
Faustas             Paulauskas          4.96                6.5                 
Fedoras             Jankauskas          4.92                6.5                 
Feliksas            Kateiva             4.52                8                   
Ferdinandas         zukauskas           2.52                3                   
Ferdinandas         Butkus              3.72                5                   
Ferdinandas         Vasiliauskas        4.32                4.5                 
Fiodoras            Kavaliauskas        2.52                4.5                 
Florijonas          Paulauskas          4.44                8.5                 
Francas             Butkus              3.44                6.5                 
Francisekas         Baranauskas         4.72                4.5                 
Fredas              Butkus              4.24                4.5                 
Gabrielis           Stankevicius        4.76                6.5                 
Gailimantas         Paulauskas          3.24                4.5                 
Gasparas            Sakalauskas         4.48                7                   
Gaudrimas           Urbonas             4.24                5.5                 
Gavrila             Baranauskas         4.44                6                   
Gavrila             Butkus              3.52                6.5                 
Gavrilas            Petrauskas          4.28                5.5                 
Gedas               zukauskas           4.24                4.5                 
Gedas               Urbonas             3.12                7                   
Gedmantas           Paulauskas          2.92                4.5                 
Gedmantas           Vasiliauskas        2.6                 5.5                 
Gedmas              Kazlaukas           3.2                 6.5                 
Gedminas            Kavaliauskas        2.68                3                   
Gedvaldas           Butkus              4.96                5                   
Gedvydas            Vasiliauskas        3                   6                   
Genadijus           Pocius              3.4                 4.5                 
Genadijus           Vasiliauskas        3.68                3                   
Gendrius            Vasiliauskas        3.44                5.5                 
Genrichas           Kateiva             3                   6.5                 
Georgijus           Paulauskas          3.64                4.5                 
Georgijus           Urbonas             3.52                6.5                 
Geraldas            Kazlaukas           3.64                7                   
Gerimantas          Stankevicius        2.6                 4.5                 
Germanas            Sakalauskas         4.08                6.5                 
Gintas              Sakalauskas         3.16                4.5                 
Girmantas           Urbonas             3.56                8                   
Gotfridas           Kateiva             4.64                6                   
Gotfridas           zukauskas           3.04                5.5                 
Gracijonas          Petrauskas          2.88                2.5                 
Gracijus            zukauskas           3.08                5                   
Grigas              Paulauskas          4.16                6                   
Grigas              Jankauskas          3.12                6.5                 
Grigorijus          Petrauskas          4.76                6                   
Gunaras             Kavaliauskas        3.56                3                   
Gustis              Sakalauskas         3.36                8                   
Gvidas              Pocius              2.4                 4.5                 
Gytautas            Urbonas             3.16                5.5                 
Gytautas            Urbonas             4.2                 4                   
Haraldas            Petrauskas          2.64                6                   
